Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2693.308221,2845.603613,3268.261788,3970.340826,5360.776467,5821.670545,6230.148089,6333.05472,6772.411688,7464.619718,8209.799446,9726.556511,10265.89828,9401.315112,10077.62575,9143.595478,9068.267439,9275.18537,11428.24465,14142.99325,14135.10699,14609.74773,14426.62705,13911.91536,14380.85213,16066.20212,17302.43972,18594.93588,16956.55356,16331.31071,17034.22211,15438.14865,15976.31031,18692.33705,24091.01179,26280.94334,27559.61245,30843.96869,37366.94047,32979.26224,39980.77299,47843.28688,52881.8056,52930.05827,48159.36038,43915.72181,38660.73451,41489.47676,,
Austria,AUT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1762.560535,2036.006068,2500.079796,3335.022389,3961.724772,4503.884761,4861.071709,5805.194117,6962.61105,8321.795793,9183.401321,7873.305093,7903.736652,8045.295834,7576.812279,7745.855625,11022.91455,13795.35695,14932.61781,14856.42987,18393.93217,18952.36106,21060.42615,20274.47144,21562.89103,25380.68305,25025.16622,22310.80143,22807.96814,22388.08477,20329.24126,20180.94513,21814.00962,26659.66672,30503.87539,31819.35887,33999.89118,39077.72145,43498.37128,39512.60002,38977.20713,42632.92867,40022.51845,41671.43331,42479.1665,35800.09525,37002.0496,38747.99133,,
Azerbaijan,AZE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.2829268,406.8726035,367.7937701,439.2666252,551.0369305,651.5441168,739.6450732,941.5066521,1356.975769,2043.283122,3173.068794,3338.007123,3868.82852,4679.517951,5181.216604,5743.263637,6031.879971,4423.449965,2994.07077,3146.654313,,
Burundi,BDI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,171.5485717,177.8884061,172.4218301,187.7734096,164.7631603,187.9259943,184.4958255,164.1572988,151.9407202,152.1520168,146.8443603,150.838398,133.9987136,113.3802844,105.6886414,100.8184897,79.07942099,95.52061032,83.29734322,88.14657158,97.21495271,86.89362472,72.86283284,48.20587162,65.86510343,85.10330818,102.4058582,91.8018775,105.3761735,119.6613511,149.0493988,155.8471084,178.5315324,182.7131939,196.1259185,222.667017,202.2957975,212.1844662,,
Belgium,BEL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2419.866177,2701.934748,3362.349984,4323.647457,5042.868991,5898.610153,6418.988121,7391.698108,9060.603746,10259.14763,10973.07966,8916.504058,7833.488244,7414.737967,7150.008746,7434.393328,10401.01258,13010.89784,14165.73556,14201.1917,17775.43841,18160.83464,20085.47993,19385.18292,21206.42542,24723.13299,23909.90631,21600.65828,22000.87936,21789.38375,19918.92873,19585.4184,21177.41419,25925.47388,29906.93792,30912.04406,32358.9915,36992.57571,40516.28062,36207.84032,37246.55427,38918.80983,37079.60198,38281.73306,38400.62075,32405.96174,33605.86599,35803.85628,,
Benin,BEN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,106.3175409,127.8213613,154.3974148,166.6792575,196.7748125,195.4062947,205.5042999,246.5653232,306.755945,352.4449968,316.1829389,295.8990568,244.8019497,222.7168707,217.9595278,273.9288428,307.6986924,311.8878271,273.9251524,347.3651937,341.3039595,270.4038954,356.5489591,234.1930615,308.8172899,321.4812604,298.3521019,315.5577532,337.8413958,315.6350839,320.3832558,355.0546928,440.6852135,498.0926019,517.4235682,534.0922328,598.2518345,697.505049,668.8029439,637.332426,697.1889863,702.1997766,765.858651,789.1613218,652.0651054,656.90022,686.7420527,,
Burkina Faso,BFA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,263.8323299,235.3742862,224.508205,198.6476643,175.6659677,183.20815,233.1359458,262.6068515,281.2726821,273.1279824,313.7319429,308.5879785,210.9061042,214.4328164,164.4609283,199.0550346,213.5935291,195.8303879,218.8093524,238.561691,205.9448256,214.7235281,238.2324282,302.7971452,333.0532175,360.5943473,370.4385193,411.594768,484.3916393,460.7043452,454.6328971,500.9574975,517.2918109,544.0494449,540.4536346,421.0275804,414.3358957,456.9589191,,
Bangladesh,BGD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,110.224048,168.42806,254.6173851,128.994967,117.6436375,158.8701195,183.1643305,208.4874111,231.1371337,205.5535437,193.2235362,202.5326226,230.0351392,219.2734043,239.2401048,254.4379278,268.7151575,287.0124794,275.1154841,276.0492787,283.6599483,283.7768222,311.8550229,372.0497428,379.6921463,385.3959088,388.188334,396.8376822,392.6178842,394.4565637,426.3412185,455.8502468,479.1241574,488.7535372,539.9180822,622.9765994,693.202657,771.8537819,845.0189375,872.4031499,964.9418135,1081.974743,1212.708886,1352.190196,1483.833911,,
Bulgaria,BGR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1884.839728,1892.526964,1838.234976,1579.326859,1681.879404,1634.181208,1930.731034,2663.402208,2090.628791,2031.837873,1834.617422,953.3911967,1027.835158,1077.653084,997.468122,1342.91404,1041.000612,1197.633292,1564.052539,1363.030263,1356.602548,1529.517526,1838.334115,2347.146468,2909.546448,3298.144843,3684.699377,4593.209376,5974.018148,5802.644668,5580.342227,6347.049895,6166.781592,6365.92673,6573.656989,5797.311435,6334.059669,7103.724619,,
Bahrain,BHR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,6336.153088,7432.828663,7564.758233,7327.77632,7541.814604,5781.023202,4910.134781,5248.087328,5504.178614,5454.013653,5537.19387,8067.716558,7777.658666,7899.950761,8250.49069,8831.560923,9045.709768,8803.63869,8484.528302,8531.532128,11359.28016,10546.48803,10656.9128,11781.04773,13263.90338,15349.32088,16546.72287,18240.6189,19603.73632,15292.56708,16640.90299,17097.5868,17755.55858,18546.64422,17601.82797,19056.40876,19133.21509,20264.05529,,
"Bahamas, The",BHS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,5506.384992,5659.112308,6242.625562,6692.394217,7732.429667,8687.919601,9067.432719,9840.182478,10116.08671,11020.35505,11005.39369,10636.23192,10757.37175,10299.98793,10582.46711,13133.87139,14935.10133,20316.16399,21582.33467,24123.37664,24870.78984,25081.77689,26433.54116,25978.06291,26001.56522,27751.33582,27937.18937,28694.86969,28294.06457,26118.50309,25824.37798,25501.23098,27292.03471,26706.32662,26758.35548,28079.64201,27169.17566,27265.98467,,
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.9325745,394.9700186,656.0522547,879.8612533,1267.01725,1384.311938,1541.488037,1581.62919,1793.464936,2207.432143,2710.725694,2839.183562,3200.443288,3834.923366,4677.422302,4328.819641,4124.585692,4435.963518,4117.081081,4494.397476,4629.438266,4091.940136,4293.525517,4584.906034,,
Belarus,BLR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430.092958,1375.902907,1152.441715,1064.288068,1140.637726,1113.381055,1235.15257,1001.311363,1077.339042,1064.184224,1289.171096,1614.572746,2125.492754,2797.598765,3432.844067,4208.297473,5686.137618,4721.516431,5505.328487,5804.492263,6159.759883,6989.665648,7316.531177,5161.507439,4339.742886,4979.858026,,
Belize,BLZ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1283.824093,1235.075964,1085.498874,1109.208915,1196.506419,1139.443626,1238.376284,1470.447658,1636.640346,1834.9955,2019.602652,2129.742833,2427.568402,2568.216404,2612.818884,2733.822468,2738.996004,2711.966666,2723.344524,2727.897216,2665.43129,2656.299817,2779.181208,2808.184648,2845.075458,2944.12517,3028.68568,2996.285792,2987.927508,3143.729167,3022.698452,3209.11089,3360.686899,3446.979784,3564.237918,3888.804144,3868.284571,3793.106025,,
Bermuda,BMU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,468.1963008,534.3235145,599.2883569,660.3482616,637.4357441,842.9675942,778.5580524,746.1014436,847.6894742,727.6495763,524.3655031,564.9843808,585.8096571,583.6301656,592.7879716,657.2749806,687.611534,685.7129352,705.2353066,777.6086005,839.9535484,886.4349087,945.7058613,889.0016526,859.9950453,827.3515606,789.0332054,775.2611822,803.6674373,830.5438014,944.4793967,1047.31005,1351.547368,1425.52785,1545.671016,1794.730598,1919.282805,2125.486682,2295.61637,2427.272681,2509.292526,2630.551022,,
Brazil,BRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,398.8656517,453.8492465,527.1801637,691.9614978,891.4136574,1015.21257,1215.790106,1374.278851,1516.868745,1646.581433,1646.507084,1793.732739,1844.981942,1265.932099,1276.929355,1330.122751,1595.188325,1734.209128,1911.10008,2701.955297,2621.674049,3405.824444,2237.743573,2390.473561,2947.960751,4139.823444,4453.082804,4517.710223,4292.152374,2887.661616,3161.018122,2648.24486,2361.23105,2571.635876,3022.800424,3970.192963,4890.499034,6112.746122,7246.183777,7271.044572,9337.194188,10986.60762,10327.38604,10414.89321,10186.72129,7447.224088,7405.912556,8397.118144,,
Barbados,BRB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,4541.741146,4968.65413,5280.021948,5882.312409,6881.587849,6835.954449,6680.263268,6948.534978,7260.683982,7477.716154,7913.550137,8357.882707,9423.790215,9752.478086,10032.82466,9943.188542,10042.75186,10277.21823,10974.39311,12021.46414,12610.25148,14242.85701,14314.47395,13590.94818,13912.73657,13559.81616,13915.28279,13823.75094,13785.53118,13650.39984,13453.02589,13871.63352,,
Brunei Darussalam,BRN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8595.461684,9271.063827,10811.62317,11682.19964,11225.15004,10959.1068,12402.08795,12742.66102,12660.38391,10259.26732,10955.52197,12603.08205,12284.66164,12659.6358,13709.84741,15837.07359,17906.87905,19723.31541,21390.70682,25803.04473,20864.01535,25507.665,31907.09945,33687.53462,33729.41314,32512.12045,26426.20048,24338.80432,24573.42045,,
Bhutan,BTN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,229.4459428,236.6119552,218.8273781,233.6072225,263.7125159,266.3318843,301.2822778,389.015701,441.5205222,443.2049248,473.377866,376.345762,363.4867901,349.4991321,421.3229163,438.3777268,459.0001726,542.4694352,504.1404247,530.3902436,671.1583062,717.6255003,784.7086599,878.4962145,976.5317796,1132.874812,1231.248825,1588.730758,1629.481869,1602.781117,1930.880875,2184.449891,2137.433675,2114.268085,2273.79794,2340.897715,2445.936476,2703.184883,,
Botswana,BWA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,950.4910774,1023.179214,924.3784174,969.9696495,944.3506807,826.8458091,1007.111195,1296.272299,1706.416591,1911.969593,2487.22243,2620.634226,2710.168822,2771.398991,2404.428784,2729.973873,2605.747445,2749.603421,2746.122562,2861.236609,2898.759601,2857.706542,2414.252872,3097.509404,3523.983516,4002.04617,3860.74044,4059.637783,3990.316497,3638.670299,4648.767598,6135.567903,5632.09664,5429.364124,5919.087506,5263.258569,5477.276886,5949.564567,,
Central African Republic,CAF,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,318.7075401,275.5943863,284.6100005,239.6283391,229.0602982,307.9334189,388.7439346,400.1566345,415.9915302,401.862138,462.5261928,432.171346,431.1987349,378.2254977,245.6943654,315.6256895,273.8455857,251.6698624,254.2852346,259.4413209,230.7348153,231.6371768,241.0639724,273.0800587,296.7764203,307.9446445,329.3945413,373.4964417,423.429115,415.6378428,411.6333611,447.1520569,430.288876,278.9990012,317.1247323,285.0839058,302.9212222,322.9968139,,
Canada,CAN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,3386.33646,3727.595255,4244.563899,4781.475414,5676.867761,6104.106764,7186.89687,7229.104695,7376.218604,7864.594594,8686.066584,9718.920148,9829.962808,10667.11793,11030.74329,11292.70073,11645.09176,13172.12943,15268.74175,16658.7271,17089.15581,17497.90048,16653.95833,16080.58097,15938.45838,16551.19515,16963.13841,17534.77188,16743.27014,17829.11178,19449.79794,18966.02007,19553.40346,22832.11148,25942.07004,29559.95281,32803.91151,36272.00856,37735.73791,32883.99029,38427.36803,42189.913,42696.49321,42650.04721,41307.976,35162.08491,34201.63935,36802.07309,,
Central Europe and the Baltics,CEB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1881.061357,2256.94157,2823.455825,3035.44959,3017.775246,3324.155387,3206.904297,3195.077296,3526.562034,3986.320918,4776.053396,5681.379657,6730.309267,7589.043318,9597.181354,11767.00891,9852.959089,10044.94749,11030.09555,10386.23921,10972.98413,11321.66064,9977.313262,10200.09673,11337.71779,,
Switzerland,CHE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,16007.32795,14759.95561,14873.76863,14750.54027,14110.93287,14214.878,20011.1444,24550.8002,26404.36128,24779.13934,30926.23997,30911.07577,31603.33967,30720.95906,33664.10564,39942.59558,38636.13891,34373.78182,35477.90776,34810.79909,32727.88,32076.64578,33748.17632,40888.729,45380.38658,47905.92573,49973.52253,50935.75482,52730.12834,56265.65474,63531.5183,71212.45819,68125.90071,69068.37246,68789.55197,67087.47041,64069.58576,64306.9622,,
Channel Islands,CHI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,793.0545193,959.6295919,1041.589506,1404.709542,1280.099376,547.7094312,748.9202742,1049.540871,1191.40208,1606.599324,2127.313405,2515.83488,1710.936918,1299.009064,1214.01192,996.1688891,1089.801433,1298.933963,1476.102975,1663.450241,1877.452378,2153.902836,2647.323096,2856.02509,3205.773918,4084.460515,4276.764402,4617.478303,4484.136295,3977.44301,4005.282854,3671.687572,3572.301415,3698.064182,4492.859799,5427.995209,6019.400536,6792.520614,7466.005714,7436.745192,9146.420113,10600.76343,11471.48641,11982.73436,11267.7888,10641.27447,10755.31922,11353.30459,,
China,CHN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,104.6515664,109.4801811,121.615006,144.5079767,143.1927204,156.4371832,143.2360449,159.78238,133.5782794,148.347446,153.9106374,155.781045,164.8301577,188.6706222,213.0104727,250.8369333,245.6120759,217.6104196,248.1422108,269.2445468,271.5131698,290.3096755,322.3554911,328.7566888,411.9795057,521.1890135,602.3604901,665.5869951,696.37641,732.9457753,796.5318846,867.4952478,957.9765178,1070.107746,1229.487155,1408.843621,1678.538606,2131.699665,2652.383066,3012.455861,3459.181815,4124.14412,4770.882242,5262.94989,5754.297064,6091.615435,6163.984514,6567.928606,,
Cote d'Ivoire,CIV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,271.8868025,305.4623105,392.7690654,465.396249,556.1578677,636.5362134,816.4973183,960.5087882,1034.866808,1096.215098,847.2931385,728.0790792,606.1731759,602.8604004,577.9730988,758.4689017,791.3342235,776.7762338,678.7102768,718.0221548,688.305318,717.941413,684.3750553,514.3556728,665.8473654,721.0906812,688.9086492,735.0998889,696.3731571,555.3785878,559.2122465,595.1792665,699.5197278,772.1874793,829.049092,825.9184091,940.0674846,1091.057833,1093.541837,1090.910152,1060.864682,1112.072949,1266.855009,1441.512643,1577.705222,1402.275379,,,
Cameroon,CMR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,159.503503,180.3640338,196.9231866,244.7383548,296.3268958,322.4769313,294.959851,455.588072,576.0788887,551.7882592,683.8306426,685.7692496,671.0732894,675.8141709,675.449453,935.2880977,1005.341467,1013.224883,823.7583333,761.4504327,846.6970498,752.9775415,1022.981148,670.1658228,588.4301975,613.9445165,613.3775506,612.11093,624.1115773,505.3652024,523.2132203,577.6167471,731.2927252,852.3159565,833.8387022,870.196911,961.1330708,1080.391857,1109.964379,1059.839636,1143.262807,1090.873151,1183.829422,1275.111889,1115.191446,1147.242862,1182.6252,,
"Congo, Dem. Rep.",COD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.5748276,97.84609088,105.5390803,109.7525066,110.0668974,78.89730505,335.8702632,122.7433532,142.4270003,139.2821946,153.8268085,169.74538,183.3735355,199.2274344,217.825676,202.7707647,242.2046831,266.3433483,290.0086903,292.3527532,314.8646474,346.0658285,362.3952148,347.0058077,,
"Congo, Rep.",COG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,180.7200802,204.4178974,246.3691432,297.7703729,265.7338038,361.9469429,335.4101414,332.0530107,347.7882801,407.7065934,592.4276659,801.3953794,874.2796,705.8670333,634.3967569,615.1202297,611.4798814,663.2207465,497.236727,391.7717721,382.7241709,513.7684359,549.9541429,217.5295347,299.8237091,122.6154846,101.157231,189.1967883,280.8424654,193.109331,121.1543304,193.75778,238.9842033,332.1791994,247.9608872,130.9167474,76.77016137,325.9841449,483.4634387,583.8814766,492.1510107,349.5246288,514.5000084,831.4371519,1049.770926,1107.593401,1075.335386,684.9708381,,
Colombia,COL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,288.4166128,303.9259168,331.4439594,388.2262905,445.6341855,459.2659706,530.3139168,675.9623129,798.0906345,927.2089226,1082.051485,1144.918765,1188.736349,1132.006623,1087.257162,961.8962909,951.12125,938.0867536,1019.909042,971.7373144,1156.876785,1206.663292,1431.996973,1629.668756,1999.69284,2205.439556,2227.501771,2394.413349,2189.323675,1823.309855,2034.445973,2000.358703,1955.28014,1833.468725,2226.045738,2704.342669,2950.936244,3740.116319,4267.188126,4172.011898,5024.446509,5622.306479,6268.804132,6466.229975,6456.022833,5114.350292,4894.237567,5226.942639,,
Comoros,COM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,624.5222638,555.1257969,507.5962638,509.8781478,481.3722786,492.0788678,677.7631351,795.1596733,812.8191041,762.6133427,921.3323407,885.2844222,936.5755892,893.5627578,601.9922362,747.3221571,714.838206,645.4101054,628.906021,638.3370617,568.6136833,607.7687824,665.834137,828.8725968,937.6529232,946.9018743,985.8955357,1098.870695,1228.953999,1181.28912,1172.448109,1304.130057,1275.855694,1380.14183,1392.355411,1177.270726,1201.964493,1234.643787,,
Cabo Verde,CPV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,409.0897651,409.951039,388.4397551,367.5625145,344.0416073,354.2722562,499.4331222,614.3226561,679.0931796,685.2589867,752.0817028,762.7903353,833.4373162,1120.597566,914.483826,1025.430525,1051.859581,987.0649348,1038.585535,1171.895831,1031.400126,1073.499387,1142.867734,1482.536904,1658.675321,1658.037784,1838.099691,2548.167981,2932.54624,2739.14465,2554.300743,2842.572186,2584.111428,2626.864389,2645.523382,2267.503717,2317.6488,2430.404863,,
Costa Rica,CRI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,488.2191337,538.4211846,643.7807255,691.6691997,770.799248,940.6563169,1176.203916,1304.03641,1425.415204,1675.788571,796.7605352,702.1585115,960.0899212,1145.472484,1216.996828,1355.794396,1339.282537,1318.54666,1460.209638,1599.186123,2000.551025,2332.988465,2557.657972,2767.488769,2956.085701,2929.314457,3095.524283,3271.491903,3266.325767,3347.396246,3500.096359,3568.850617,3661.633476,3902.471417,4161.112684,4682.672591,5501.072788,6274.426882,6074.464421,7299.732559,8186.236725,8946.415327,9412.029394,9403.131008,10087.0875,10406.80915,10326.78053,,
Caribbean small states,CSS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1871.800796,2131.41096,2615.024931,2514.849312,2264.325848,2171.878257,1970.52094,2067.667361,2210.246507,2197.902076,2346.020996,2307.721708,2272.744483,2511.709772,2600.941208,2982.340544,3279.48408,3744.318322,4022.873623,4167.97332,4337.801094,4468.750829,4657.289714,4858.623033,5366.018783,5854.775753,6409.086736,7188.500316,8157.771769,6810.92456,7339.923081,7377.556845,7805.637373,7968.349766,8134.2378,8278.992146,7746.848967,7605.377016,,
Cuba,CUB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,583.4760399,695.9325281,804.2796661,970.8160628,1090.857295,1221.679924,1277.605703,1302.854747,1623.76022,1767.204703,1775.208156,1781.794826,1844.151184,1943.680483,2091.89628,1964.049172,2061.923457,2122.892942,2289.078833,2234.181076,2342.846341,1986.60115,1808.182258,1831.570832,2314.12534,2422.172316,1971.951388,1990.486616,2017.876229,2201.924598,2340.49197,2437.348767,2581.103486,2754.790625,2906.686772,3245.73596,4020.477669,4338.674714,4565.675604,4672.838251,4815.756776,5172.233314,5495.624094,5812.226107,6076.157754,6621.907815,,,,
Curacao,CUW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
